ward_code,ward_name,ward_name_en,ward_full_name,ward_full_name_en,ward_type,province_code,province_name,province_name_en,center_lat,center_lng,bbox_south,bbox_north,bbox_west,bbox_east,area_km2
00508,Vĩnh Thanh,Vinh Thanh,Xã Vĩnh Thanh,Vinh Thanh Commune,Xã,01,Hà Nội,Hanoi,21.107735,105.817843,21.08116,21.126062,105.781271,105.850134,22.52
00283,Vĩnh Tuy,Vinh Tuy,Phường Vĩnh Tuy,Vinh Tuy Ward,Phường,01,Hà Nội,Hanoi,20.998063,105.867343,20.986643,21.009028,105.860703,105.874229,2.33
10045,Xuân Mai,Xuan Mai,Xã Xuân Mai,Xuan Mai Commune,Xã,01,Hà Nội,Hanoi,20.8728,105.593265,20.806052,20.915533,105.550881,105.642436,50.72
00622,Xuân Phương,Xuan Phuong,Phường Xuân Phương,Xuan Phuong Ward,Phường,01,Hà Nội,Hanoi,21.029551,105.7451,21.006432,21.056473,105.726562,105.763278,10.81
00611,Xuân Đỉnh,Xuan Dinh,Phường Xuân Đỉnh,Xuan Dinh Ward,Phường,01,Hà Nội,Hanoi,21.064443,105.795051,21.051816,21.079122,105.782362,105.809027,5.46
09706,Yên Bài,Yen Bai,Xã Yên Bài,Yen Bai Commune,Xã,01,Hà Nội,Hanoi,21.053759,105.419024,21.011359,21.104982,105.378182,105.468907,68.19
00175,Yên Hoà,Yen Hoa,Phường Yên Hoà,Yen Hoa Ward,Phường,01,Hà Nội,Hanoi,21.013866,105.796185,21.002232,21.026166,105.782199,105.810785,4.1
08980,Yên Lãng,Yen Lang,Xã Yên Lãng,Yen Lang Commune,Xã,01,Hà Nội,Hanoi,21.172197,105.661692,21.13134,21.210965,105.615151,105.702523,44.81
09562,Yên Nghĩa,Yen Nghia,Phường Yên Nghĩa,Yen Nghia Ward,Phường,01,Hà Nội,Hanoi,20.939154,105.736049,20.912573,20.963285,105.711312,105.754763,13.18
00340,Yên Sở,Yen So,Phường Yên Sở,Yen So Ward,Phường,01,Hà Nội,Hanoi,20.95675,105.857193,20.943261,20.966442,105.841977,105.876782,5.62
04930,Yên Xuân,Yen Xuan,Xã Yên Xuân,Yen Xuan Commune,Xã,01,Hà Nội,Hanoi,20.978015,105.470051,20.929553,21.018227,105.391667,105.530248,78.01
00430,Đa Phúc,Da Phuc,Xã Đa Phúc,Da Phuc Commune,Xã,01,Hà Nội,Hanoi,21.250498,105.900562,21.177017,21.317691,105.861825,105.93906,55.32
00637,Đại Mỗ,Dai Mo,Phường Đại Mỗ,Dai Mo Ward,Phường,01,Hà Nội,Hanoi,20.993562,105.775355,20.979787,21.006559,105.752665,105.798736,8.1
00664,Đại Thanh,Dai Thanh,Xã Đại Thanh,Dai Thanh Commune,Xã,01,Hà Nội,Hanoi,20.937069,105.814415,20.90929,20.95941,105.789463,105.844455,18.92
10342,Đại Xuyên,Dai Xuyen,Xã Đại Xuyên,Dai Xuyen Commune,Xã,01,Hà Nội,Hanoi,20.700623,105.94936,20.650818,20.743578,105.902206,106.003299,51.66
09784,Đan Phượng,Dan Phuong,Xã Đan Phượng,Dan Phuong Commune,Xã,01,Hà Nội,Hanoi,21.091221,105.666008,21.066132,21.12301,105.644968,105.687576,15.3
00316,Định Công,Dinh Cong,Phường Định Công,Dinh Cong Ward,Phường,01,Hà Nội,Hanoi,20.976878,105.824903,20.966972,20.988714,105.806436,105.841355,5.34
09616,Đoài Phương,Doai Phuong,Xã Đoài Phương,Doai Phuong Commune,Xã,01,Hà Nội,Hanoi,21.068694,105.486113,21.02195,21.106153,105.438664,105.537999,57.1
00454,Đông Anh,Dong Anh,Xã Đông Anh,Dong Anh Commune,Xã,01,Hà Nội,Hanoi,21.110091,105.871607,21.066446,21.153571,105.827091,105.915112,48.68
00602,Đông Ngạc,Dong Ngac,Phường Đông Ngạc,Dong Ngac Ward,Phường,01,Hà Nội,Hanoi,21.075052,105.775915,21.05429,21.098495,105.755513,105.78846,8.85
00235,Đống Đa,Dong Da,Phường Đống Đa,Dong Da Ward,Phường,01,Hà Nội,Hanoi,21.011923,105.821778,21.001589,21.020827,105.810785,105.834137,2.07
